"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20190224010509I","24-FEB-19","DESTIN","FL","DESTIN-FORT WALTON BEACH","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","982SR","0","0","ROTAX","912ULS2","","","","1055","1055","55",""
"20190224010519I","24-FEB-19","MOBILE","AL","MOBILE DOWNTOWN","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","17325","0","0","LYCOMI","O&VO-360 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","22800","820","5",""
"20190224010539I","24-FEB-19","WICHITA","KS","WICHITA MID-CONTINENT","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA23","250","","","GENERAL OPERATING RULES","","1SY","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1463","370","109",""
"20190224014959I","24-FEB-19","KISSIMMEE","FL","KISSIMMEE GATEWAY","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BEECH","24","C24R","","","GENERAL OPERATING RULES","","724PF","0","0","LYCOMI","I0360 SER A&C","","1","PRIVATE PILOT","962","680","8",""
"20190224015959I","24-FEB-19","FRESNO","CA","FRESNO YOSEMITE INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","250","","","GENERAL OPERATING RULES","","8230P","0","0","LYCOMI","0-540 SERIES","","","","","","",""
"20190224018679I","24-FEB-19","SHREVEPORT","LA","SHREVEPORT DOWNTOWN","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","310","R","GULF STATES AIR INC","","GENERAL OPERATING RULES","","372WP","0","0","CONT M","IO 520 SERIES","","2","","","","",""
"20190225011479I","25-FEB-19","MARATHON","FL","THE FLORIDA KEYS MARATHON","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","498CF","0","0","LYCOMI","O-320-D1F","","","PRIVATE PILOT","","","",""
"20190226000669I","26-FEB-19","","","","INCIDENT","NONE","LANDING: APPROACH","BOEING","737","800","ARAMCO ASSOCIATED CO","","PART 125 OPERATOR","","803XA","0","0","CFM IN","CFM56-7B26E","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","14778","1008","193",""
"20190227010569I","27-FEB-19","PIERRE","SD","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA18","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","585CC","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20190227010579I","27-FEB-19","KANSAS CITY","MO","CHARLES B. WHEELER DOWNTOWN","INCIDENT","MINOR","LANDING: ROLLOUT","EMBRAER","EMB500","NO SERIES EXISTS","QUEST DIAGNOSTICS INC","","AIR TAXI/COMMUTER","","649DX","0","0","P&W CA","PW617F-E","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","5503","612","72",""
"20190227011119I","27-FEB-19","BERRIEN SPRINGS","MI","ANDREWS UNIVERSITY AIRPARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","150","UNDESIGNATED SERIES","","","PILOT SCHOOLS","","5515E","0","2","CONT M","0-200 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","374","28","48",""
"20190228010589I","28-FEB-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","NONE","LANDING: APPROACH","","","","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","414ER","0","0","LYCOMI","IO-360-L2A","","1","","","","",""
"20190228010619I","28-FEB-19","SNOHOMISH","WA","HARVEY FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","N","","","GENERAL OPERATING RULES","","172HR","0","0","LYCOMI","0-320","D2J","1","PRIVATE PILOT","278","240","2",""
"20190228011129I","28-FEB-19","FITCHBURG","MA","FITCHBURG MUNI","INCIDENT","MINOR","DESCENT","CESSNA","182","T","","","GENERAL OPERATING RULES","","273CP","0","0","LYCOMI","IO-540-AB1A5","","1","PRIVATE PILOT","1521","","",""
"20190228011139I","28-FEB-19","HENDERSON","NV","HENDERSON EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA31T","1","","","GENERAL OPERATING RULES","","20WE","0","0","P&W CA","PT6A-60A","","","PRIVATE PILOT","6000","250","30",""
"20190301000689I","01-MAR-19","FAIRBANKS","AK","FAIRBANKS INTL","INCIDENT","SUBSTANTIAL","TAKEOFF: CLIMB OUT","CESSNA","401","A","","","GENERAL OPERATING RULES","","386H","0","0","","","","2","","","","",""
"20190301000709I","01-MAR-19","WESTFIELD","MA","WESTFIELD-BARNES RGNL","INCIDENT","MINOR","TAKEOFF: ROTATION","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","3663H","0","0","CONT M","TSIO-360 SER","","1","","","","",""
"20190301005819I","01-MAR-19","ELKHART","IN","ELKHART MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","210","L","","","GENERAL OPERATING RULES","","5400V","0","0","CONT M","IO 520 SERIES","","1","STUDENT","115","35","5",""
"20190302000749I","02-MAR-19","SALEM","OR","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","76EQ","0","0","AEROVE","2180","","1","PRIVATE PILOT","580","130","",""
"20190302000789I","02-MAR-19","OPA LOCKA","FL","OPA-LOCKA EXECUTIVE","INCIDENT","NONE","DESCENT","CESSNA","402","B","AIRWAY AIR CHARTER INC","","AIR TAXI/COMMUTER","","145TT","0","0","CONT M","TSIO-520 SER","","2","COMMERCIAL PILOT","1160","189","218",""
"20190302000799I","02-MAR-19","FORT LAUDERDALE","FL","FORT LAUDERDALE/HOLLYWOOD INTL","INCIDENT","MINOR","LANDING: APPROACH","","","","TROPIC OCEAN AIRWAYS","","AIR TAXI/COMMUTER","","384TA","0","0","P&W CA","PT6A-140","N/A","1","PRIVATE PILOT","2579","1155","200",""
"20190302000809I","02-MAR-19","PLANT CITY","FL","PLANT CITY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","R","","","GENERAL OPERATING RULES","","1033A","0","0","LYCOMI","IO-360-L2A","L-3119","1","PRIVATE PILOT","247","247","1",""
"20190302010622I","02-MAR-19","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","MINOR","TAXI","BOEING","737","7H4","SOUTHWEST AIRLINES CO","","AIR CARRIER/COMMERCIAL","","918WN","0","0","CFM IN","CFM56-7B24","","","AIRLINE TRANSPORT","11991","11991","128",""
"20190302010632I","02-MAR-19","NEWARK","NJ","NEWARK LIBERTY INTL","INCIDENT","MINOR","GROUND-RAMP","BOEING","737","7H4","SOUTHWEST AIRLINES CO","","AIR CARRIER/COMMERCIAL","","493WN","0","0","CFM IN","CFM56 SERIES","","","AIRLINE TRANSPORT","11850","11850","100",""
"20190303000839I","03-MAR-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","MINOR","LANDING: APPROACH","","","","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","942ER","0","0","","","","","","","","",""
"20190303000849I","03-MAR-19","CAPE CORAL","FL","","INCIDENT","MINOR","UNKNOWN","","","","","","GENERAL OPERATING RULES","","NONE","0","1","","","","","PILOT NOT CERTIFICATED","","","",""
"20190303000859I","03-MAR-19","","AZ","","INCIDENT","MINOR","MANEUVER","","","","","","GENERAL OPERATING RULES","","936DD","0","0","SUPERI","IO-360 SER","","","","","","",""
"20190304000869I","04-MAR-19","SANFORD","FL","ORLANDO SANFORD INTL","INCIDENT","NONE","LANDING: APPROACH","DIAMOND","DA42","NG","","","PILOT SCHOOLS","","251JU","0","0","AUSTRO","E4","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1436","100","339",""
"20190304000879I","04-MAR-19","ROSELAND","LA","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","36","A36","","","GENERAL OPERATING RULES","","618BH","0","0","CONT M","IO-550 SERIES","","1","AIRLINE TRANSPORT","7249","","",""
"20190304000889I","04-MAR-19","BORREGO SPRINGS","CA","BORREGO VALLEY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","250","","","GENERAL OPERATING RULES","","5449P","0","0","LYCOMI","0-540 SERIES","","","","","","",""
"20190304010649I","04-MAR-19","ARIONA CITY","AZ","ELOY MUNI","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","SHORT","SC7","3","SKYDIVE ARIZONA","","PARACHUTE JUMPING","","41LH","0","0","AIRESE","TPE331-2","","","","","","",""
"20190304016459I","04-MAR-19","RACINE","WI","JOHN H BATTEN","INCIDENT","MINOR","LANDING: TOUCHDOWN","DASSAULT","FALCON7X","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","989JW","0","0","P&W CA","PW307D","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7300","67","67",""
"20190305000619I","05-MAR-19","MIAMI","FL","MIAMI INTL","INCIDENT","NONE","TAKEOFF: ROTATION","CESSNA","750","NO SERIES EXISTS","GAMA AVIATION LLC","","AIR TAXI/COMMUTER","","902UP","0","0","ALLISO","AE3007C SER","","2","","","","",""
"20190305000629I","05-MAR-19","SUN VALLEY","ID","","INCIDENT","MINOR","LANDING: TOUCHDOWN","AEROSPATIALE","AS350","B3","REEDER FLYING SERVICE INC","","AIR TAXI/COMMUTER","","353E","0","0","TURBOM","ARRIEL 2D","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","10888","3946","80",""
"20190305000929I","05-MAR-19","MELBOURNE","FL","MELBOURNE INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA34","200","PARIS AIR CHARTER INC","","","","56686","0","0","LYCOMI","I0360 SER","","","PRIVATE PILOT FLIGHT INSTRUCTOR","29000","240","100",""
"20190305000939I","05-MAR-19","VERO BEACH","FL","VERO BEACH MUNI","INCIDENT","NONE","TAKEOFF: CLIMB OUT","PIPER","PA28","161","","","PILOT SCHOOLS","","562PU","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","144","144","66",""
"20190306000959I","06-MAR-19","PHOENIX","AZ","PHOENIX DEER VALLEY","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","56EZ","0","0","LYCOMI","O-320","","","AIRLINE TRANSPORT","31130","45","13",""
"20190307000599I","07-MAR-19","WILMINGTON","NC","WILMINGTON INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","M","","","GENERAL OPERATING RULES","","193JS","0","0","LYCOMI","0-320","E2D","1","STUDENT","48","45","45",""
"20190307000989I","07-MAR-19","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA28","181","FLORIDA FLYERS EUROPEAN US FLIGHT SCHOOL INC","","PILOT SCHOOLS","","53651","0","0","LYCOMI","O-360 SERIES","","","","","","",""
"20190307000999I","07-MAR-19","TULSA","OK","RICHARD LLOYD JONES JR","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA44","180","","","PILOT SCHOOLS","","929OP","0","0","","","","","PRIVATE PILOT FLIGHT INSTRUCTOR","732","63","165",""
"20190308000589I","08-MAR-19","DENVER","CO","DENVER INTL","INCIDENT","MINOR","LANDING: APPROACH","BOEING","737","7BD","SOUTHWEST AIRLINES CO","","AIR CARRIER/COMMERCIAL","","7730A","0","0","CFM IN","CFM56-7B22","","","","","","",""
"20190308001029I","08-MAR-19","PENSACOLA","FL","PENSACOLA GULF COAST RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","GLOBE","GC1B","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","3887K","0","0","CONT M","C125 SERIES","","","AIRLINE TRANSPORT","18200","490","15",""
"20190308001049I","08-MAR-19","SEBRING","FL","SEBRING RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA24","250","","","GENERAL OPERATING RULES","","543AS","0","0","LYCOMI","IO-540 SER","","","PRIVATE PILOT","1520","1450","15",""
"20190309001069I","09-MAR-19","RICHLANDS","NC","ALBERT J ELLIS","INCIDENT","NONE","DESCENT","CESSNA","172","M","","","GENERAL OPERATING RULES","","20364","0","0","LYCOMI","0-320 SERIES","E2D","1","AIRLINE TRANSPORT","10218","600","70",""
"20190310001099I","10-MAR-19","OLATHE","KS","NEW CENTURY AIRCENTER","INCIDENT","MINOR","TAXI","PIPER","PA32RT","300","","","GENERAL OPERATING RULES","","432NC","0","0","LYCOMI","IO-540 SER","","","PRIVATE PILOT","364","132","3",""
"20190310001109I","10-MAR-19","BOISE","ID","BOISE AIR TERMINAL/GOWEN FLD","INCIDENT","NONE","TAXI","CESSNA","210","K","","","GENERAL OPERATING RULES","","8143G","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","","","",""
"20190310001119I","10-MAR-19","ORMOND BEACH","FL","ORMOND BEACH MUNI","INCIDENT","MINOR","TAKEOFF: ROTATION","","","","","","GENERAL OPERATING RULES","","277DE","0","0","","","","","","","","",""
"20190311001169I","11-MAR-19","RICHMOND","VA","RICHMOND INTL","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA28","181","","","GENERAL OPERATING RULES","","558K","0","0","LYCOMI","O-360-A4M","","","","","","",""
"20190311001179I","11-MAR-19","KALISPELL","MT","GLACIER PARK INTL","INCIDENT","MINOR","LANDING: ROLLOUT","MAULE","M7","235B","","","GENERAL OPERATING RULES","","723M","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","1616","717","7",""
"20190311001199I","11-MAR-19","FIREBAUGH","CA","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","AYRES","S2R","T34","","","AGRICULTURAL","","40126","0","0","P&W CA","PT6A-60A","","","AIRLINE TRANSPORT","","","",""
"20190312001229I","12-MAR-19","CENTENNIAL","CO","CENTENNIAL","INCIDENT","MINOR","TAXI","BEECH","60","B60","","","GENERAL OPERATING RULES","","71WW","0","0","","","","","PRIVATE PILOT","4927","2686","30",""
"20190312001239I","12-MAR-19","MOUNT PLEASANT","SC","MT PLEASANT RGNL-FAISON FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","140","","","GENERAL OPERATING RULES","","1097T","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","768","130","65",""
"20190312001249I","12-MAR-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","NONE","LANDING: APPROACH","RAYTHEON","HAWKER","800XP","F S AIR SERVICE INC","","GENERAL OPERATING RULES","","356SR","0","0","HONEYW","TFE-731-SER","","","AIRLINE TRANSPORT","30000","","",""
"20190312006099I","12-MAR-19","NEWARK","OH","NEWARK-HEATH","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA30","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","7433Y","0","0","LYCOMI","IO-320 SERIES","","","","","","",""
"20190313001259I","13-MAR-19","DODGE CITY","KS","DODGE CITY RGNL","INCIDENT","MINOR","TAXI","PIPER","PA42","720","CROTTS AIRCRAFT SERVICE INC","","AIR TAXI/COMMUTER","","141TC","0","0","P&W CA","PT6A-60A","","","COMMERCIAL PILOT","6200","550","100",""
"20190313001289I","13-MAR-19","PENSACOLA","FL","PENSACOLA GULF COAST RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BAC","167","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","72445","0","0","ROLLS-","VIPER 535","","","AIRLINE TRANSPORT","2450","280","52",""
"20190313001309I","13-MAR-19","POMPANO BEACH","FL","POMPANO BEACH AIRPARK","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","172","S","","","GENERAL OPERATING RULES","","1206U","0","0","LYCOMI","IO-360-L2A","","1","","","","",""
"20190314001379I","14-MAR-19","SCOTTSDALE","AZ","SCOTTSDALE","INCIDENT","MINOR","RUN-UP AREA","SOCATA","TB20","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","75TB","0","0","LYCOMI","IO-540 SER","","","PRIVATE PILOT","3900","3300","45",""
"20190315001429I","15-MAR-19","FORT PAYNE","AL","ISBELL FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","177RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","1977Q","0","0","LYCOMI","IO-360-A1B6D","","1","PRIVATE PILOT","","","",""
"20190315001439I","15-MAR-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","","","","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","490ER","0","0","","","","1","COMMERCIAL PILOT","1090","","",""
"20190315001449I","15-MAR-19","PALM COAST","FL","","INCIDENT","NONE","LANDING: ROLLOUT","AMERICAN AVIATION","AA5","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","7200L","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","590","52","16",""
"20190315001469I","15-MAR-19","PAHRUMP","NV","CALVADA MEADOWS","INCIDENT","MINOR","LANDING: APPROACH","CIRRUS","SR22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","832LM","0","0","CONT M","IO-550 SERIES","","1","PRIVATE PILOT","2500","2000","25",""
"20190316001479I","16-MAR-19","SEARCY","AR","SEARCY MUNI","INCIDENT","DESTROYED","GROUND-RAMP","","","","","","GENERAL OPERATING RULES","","166JG","0","0","JABIRU","3300","","1","","","","",""
"20190316001499I","16-MAR-19","PERRIS","CA","PERRIS VALLEY","INCIDENT","NONE","OTHER-SPECIFY","DE HAVILLAND","DHC6","UNDESIGNATED SERIES","","","PARACHUTE JUMPING","","64150","1","0","P&W CA","PT6A-60A","","","","","","",""
"20190316010799I","16-MAR-19","CONROE","TX","LONE STAR EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","1226N","0","0","ALLISO","V1710 SERIES","","","COMMERCIAL PILOT","7100","200","1",""
"20190317001509I","17-MAR-19","COATESVILLE","PA","CHESTER COUNTY G O CARLSON","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","929X","0","0","LYCOMI","IO-540-L1B5D","","","PRIVATE PILOT","455","272","9",""
"20190317001519I","17-MAR-19","BEALETON","VA","WARRENTON AIR PARK","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","162","NO SERIES EXISTS","","","PILOT SCHOOLS","","6048U","0","0","CONT M","O-200","","1","STUDENT","49","23","10",""
"20190317001539I","17-MAR-19","MILWAUKEE","WI","LAWRENCE J TIMMERMAN","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","S","","","GENERAL OPERATING RULES","","351ME","0","0","LYCOMI","I0360 SER A&C","","1","STUDENT","53","50","7",""
"20190317001559I","17-MAR-19","CLEARWATER","FL","ST PETERSBURG-CLEARWATER INTL","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","182","R","","","GENERAL OPERATING RULES","","7580T","0","0","LYCOMI","0-540 SERIES","","1","COMMERCIAL PILOT","370","","",""
"20190317001569I","17-MAR-19","SEATTLE","WA","BOEING FIELD/KING COUNTY INTL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","750","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","777KT","0","0","ROLLS-","AE 3007C","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","","",""
"20190318001589I","18-MAR-19","OMAHA","NE","MILLARD","INCIDENT","NONE","TAKEOFF: DEPARTURE","PILATUS","PC12","45","","","GENERAL OPERATING RULES","","420DW","0","0","P&W CA","PT6A-67B","","","PRIVATE PILOT","2430","965","24",""
"20190318001599I","18-MAR-19","MORRISTOWN","TN","MOORE-MURRELL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","182","T","","","GENERAL OPERATING RULES","","371CP","0","0","LYCOMI","IO-540-AB1A5","","1","AIRLINE TRANSPORT","8175","47","8",""
"20190318001619I","18-MAR-19","OCALA","FL","OCALA INTL-JIM TAYLOR FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","79350","0","0","LYCOMI","I0360 SER","","1","COMMERCIAL PILOT","257","28","2",""
"20190318001629I","18-MAR-19","NAPLES","FL","NAPLES MUNI","INCIDENT","MINOR","TAXI","PIPER","PA28","161","NAPLES AIR CENTER","","PILOT SCHOOLS","","971AC","0","0","LYCOMI","0-320 SERIES","LYCOMI","","STUDENT","64","60","60",""
"20190318001639I","18-MAR-19","SPRINGDALE","AR","SPRINGDALE MUNI","INCIDENT","MINOR","TAXI","YAKOVLEV","YAK52","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","666EN","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","760","18","22",""
"20190319001649I","19-MAR-19","GARDEN CITY","KS","GARDEN CITY RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","SWEARINGEN","SA227","AC","KEY LIME AIR CORPORATION","","AIR TAXI/COMMUTER","","425MA","0","0","AIRESE","TPE331 SERIES","","","PRIVATE PILOT FLIGHT INSTRUCTOR","1800","52","80",""
"20190319001659I","19-MAR-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","GROUND-RAMP","CESSNA","172","R","","","GENERAL OPERATING RULES","","103FV","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","","","",""
"20190319001669I","19-MAR-19","ORLANDO","FL","ORLANDO INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","SAAB","340","B","SILVER AIRWAYS LLC","","AIR CARRIER/COMMERCIAL","","336AG","0","0","GE","CT7-SER","","","","","","",""
"20190319016529I","19-MAR-19","DENVER","CO","DENVER INTL","INCIDENT","SUBSTANTIAL","GROUND-RAMP","BOEING","737","824","UNITED AIRLINES, INC.","","AIR CARRIER/COMMERCIAL","","76504","0","0","CFM IN","CFM56-7B26","","","","","","",""
"20190320001679I","20-MAR-19","HAMILTON","MT","RAVALLI COUNTY","INCIDENT","MINOR","TAKEOFF: DEPARTURE","AVIAT","A1","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","360HU","0","0","LYCOMI","0-360-A1D","","","PRIVATE PILOT FLIGHT INSTRUCTOR","3191","26","26",""
"20190320001709I","20-MAR-19","LIBERTY","SC","PICKENS COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","V35A","","","GENERAL OPERATING RULES","","84BB","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","1000","300","13",""
"20190320001719I","20-MAR-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","NONE","LANDING: APPROACH","CESSNA","172","S","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY","","PILOT SCHOOLS","","461ER","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT","1283","","",""
"20190320001729I","20-MAR-19","SANFORD","FL","SANFORD","INCIDENT","MINOR","CLIMB","CESSNA","172","S","","","PILOT SCHOOLS","","525ND","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","547","145","134",""
"20190320017269I","20-MAR-19","SPRING","TX","DAVID WAYNE HOOKS MEMORIAL","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","92RC","0","0","LYCOMI","0-320 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7000","15","8",""
"20190321001739I","21-MAR-19","LEESBURG","FL","LEESBURG INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","AIR TRACTOR","AT802","UNDESIGNATED SERIES","AERO SPRAY INC","","GENERAL OPERATING RULES","","12DA","0","0","P&W CA","PT6A-67F","","","COMMERCIAL PILOT","6033","1885","22",""
"20190321001749I","21-MAR-19","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","A36","","","GENERAL OPERATING RULES","","700SS","0","0","CONT M","IO 520 SERIES","","1","AIRLINE TRANSPORT","11700","550","90",""
"20190321001759I","21-MAR-19","FORT MYERS","FL","PAGE FIELD","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","172","S","","","GENERAL OPERATING RULES","","6065L","0","0","LYCOMI","IO-360-L2A","","1","STUDENT","27","24","24",""
"20190321016479I","21-MAR-19","TAYLOR","TX","TAYLOR MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","545JC","0","0","LYCOMI","0-360-A1D","","","PRIVATE PILOT","3036","","",""
"20190322001779I","22-MAR-19","ATQASUK","AK","ATQASUK EDWARD BURNELL SR MEMORIAL","INCIDENT","SUBSTANTIAL","TAXI","CESSNA","182","D","","","GENERAL OPERATING RULES","","8849X","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2500","300","16",""
